NW_019174848.1	BDQW01000593.1
NW_019174849.1	BDQW01000594.1
NW_019174850.1	BDQW01000595.1
NW_019174851.1	BDQW01000596.1
NW_019174852.1	BDQW01000597.1
NW_019174853.1	BDQW01000598.1
NW_019174854.1	BDQW01000599.1
NW_019174855.1	BDQW01000600.1
NW_019174856.1	BDQW01000601.1
NW_019174857.1	BDQW01000602.1
NW_019174858.1	BDQW01000603.1
NW_019174859.1	BDQW01000604.1
NW_019174860.1	BDQW01000605.1
NW_019174861.1	BDQW01000606.1
NW_019174862.1	BDQW01000607.1
NW_019174863.1	BDQW01000608.1
NW_019174864.1	BDQW01000609.1
NW_019174865.1	BDQW01000610.1
NW_019174866.1	BDQW01000611.1
NW_019174867.1	BDQW01000612.1
NW_019174868.1	BDQW01000613.1
NW_019174869.1	BDQW01000614.1
NW_019174870.1	BDQW01000615.1
NW_019174871.1	BDQW01000616.1
NW_019174872.1	BDQW01000617.1
NW_019174873.1	BDQW01000618.1
NW_019174874.1	BDQW01000619.1
NW_019174875.1	BDQW01000620.1
NW_019174876.1	BDQW01000621.1
NW_019174877.1	BDQW01000622.1
NW_019174878.1	BDQW01000623.1
NW_019174879.1	BDQW01000624.1
NW_019174880.1	BDQW01000625.1
NW_019174881.1	BDQW01000626.1
NW_019174882.1	BDQW01000627.1
NW_019174883.1	BDQW01000628.1
NW_019174884.1	BDQW01000629.1
NW_019174885.1	BDQW01000630.1
NW_019174886.1	BDQW01000631.1
NW_019174887.1	BDQW01000632.1
NW_019174888.1	BDQW01000633.1
NW_019174889.1	BDQW01000634.1
NW_019174890.1	BDQW01000635.1
NW_019174891.1	BDQW01000636.1
NW_019174892.1	BDQW01000637.1
NW_019174893.1	BDQW01000638.1
NW_019174894.1	BDQW01000639.1
NW_019174895.1	BDQW01000640.1
NW_019174896.1	BDQW01000641.1
NW_019174897.1	BDQW01000642.1
NW_019174898.1	BDQW01000643.1
NW_019174899.1	BDQW01000644.1
NW_019174900.1	BDQW01000645.1
NW_019174901.1	BDQW01000646.1
NW_019174902.1	BDQW01000647.1
NW_019174903.1	BDQW01000648.1
NW_019174904.1	BDQW01000649.1
NW_019174905.1	BDQW01000650.1
NW_019174906.1	BDQW01000651.1
NW_019174907.1	BDQW01000652.1
NW_019174908.1	BDQW01000653.1
NW_019174909.1	BDQW01000654.1
NW_019174910.1	BDQW01000655.1
NW_019174911.1	BDQW01000656.1
NW_019174912.1	BDQW01000657.1
NW_019174913.1	BDQW01000658.1
NW_019174914.1	BDQW01000659.1
NW_019174915.1	BDQW01000660.1
NW_019174916.1	BDQW01000661.1
NW_019174917.1	BDQW01000662.1
NW_019174918.1	BDQW01000663.1
NW_019174919.1	BDQW01000664.1
NW_019174920.1	BDQW01000665.1
NW_019174921.1	BDQW01000666.1
NW_019174922.1	BDQW01000667.1
NW_019174923.1	BDQW01000668.1
NW_019174924.1	BDQW01000669.1
NW_019174925.1	BDQW01000670.1
NW_019174926.1	BDQW01000671.1
NW_019174927.1	BDQW01000672.1
NW_019174928.1	BDQW01000673.1
NW_019174929.1	BDQW01000674.1
NW_019174930.1	BDQW01000675.1
NW_019174931.1	BDQW01000676.1
NW_019174932.1	BDQW01000677.1
NW_019174933.1	BDQW01000678.1
NW_019174934.1	BDQW01000679.1
NW_019174935.1	BDQW01000680.1
NW_019174936.1	BDQW01000681.1
NW_019174937.1	BDQW01000682.1
NW_019174938.1	BDQW01000683.1
NW_019174939.1	BDQW01000684.1
NW_019174940.1	BDQW01000685.1
NW_019174941.1	BDQW01000686.1
NW_019174942.1	BDQW01000687.1
NW_019174943.1	BDQW01000688.1
NW_019174944.1	BDQW01000689.1
NW_019174945.1	BDQW01000690.1
NW_019174946.1	BDQW01000691.1
NW_019174947.1	BDQW01000692.1
NW_019174948.1	BDQW01000693.1
NW_019174949.1	BDQW01000694.1
NW_019174950.1	BDQW01000695.1
NW_019174951.1	BDQW01000696.1
NW_019174952.1	BDQW01000697.1
NW_019174953.1	BDQW01000698.1
NW_019174954.1	BDQW01000699.1
NW_019174955.1	BDQW01000700.1
NW_019174956.1	BDQW01000701.1
NW_019174957.1	BDQW01000702.1
NW_019174958.1	BDQW01000703.1
NW_019174959.1	BDQW01000704.1
NW_019174960.1	BDQW01000705.1
NW_019174961.1	BDQW01000706.1
NW_019174962.1	BDQW01000707.1
NW_019174963.1	BDQW01000708.1
NW_019174964.1	BDQW01000709.1
NW_019174965.1	BDQW01000710.1
NW_019174966.1	BDQW01000711.1
NW_019174967.1	BDQW01000712.1
NW_019174968.1	BDQW01000713.1
NW_019174969.1	BDQW01000714.1
NW_019174970.1	BDQW01000715.1
NW_019174971.1	BDQW01000716.1
NW_019174972.1	BDQW01000717.1
NW_019174973.1	BDQW01000718.1
NW_019174974.1	BDQW01000719.1
NW_019174975.1	BDQW01000720.1
NW_019174976.1	BDQW01000721.1
NW_019174977.1	BDQW01000722.1
NW_019174978.1	BDQW01000723.1
NW_019174979.1	BDQW01000724.1
NW_019174980.1	BDQW01000725.1
NW_019174981.1	BDQW01000726.1
NW_019174982.1	BDQW01000727.1
NW_019174983.1	BDQW01000728.1
NW_019174984.1	BDQW01000729.1
NW_019174985.1	BDQW01000730.1
NW_019174986.1	BDQW01000731.1
NW_019174987.1	BDQW01000732.1
NW_019174988.1	BDQW01000733.1
NW_019174989.1	BDQW01000734.1
NW_019174990.1	BDQW01000735.1
NW_019174991.1	BDQW01000736.1
